date,tsmom_63,tsmom_126,tsmom_252,ma_cross_50_200,ma_cross_20_100,rsi_rev_14,macd_12_26_9,boll_rev_20_2
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-02,0.0,0.0,0.0,0.0,0.0,-0.00070527697439623,0.0013648085717246807,0.0
